I1,I2,I3
0.689,0.718,0.039
0.919,0.636,-0.029
1.15,0.516,-0.04
1.15,0.531,-0.098
1.148,0.591,-0.043
0.919,0.404,-0.039
0.69,0.202,-0.021
1.38,-0.022,0.2
1.15,-0.112,0.435
0.69,-0.067,0.569
1.15,0.075,0.576
1.15,0.105,0.522
1.381,0.045,0.35
1.61,-0.067,0.399
1.381,-0.097,0.505
0.92,0.06,-0.223
1.379,0.12,-0.369
1.379,0,-0.514
1.38,-0.18,-0.583
0.919,-0.142,-0.494
1.15,-0.022,-0.494
0.92,0.06,-0.494
1.15,0.03,-0.717
1.15,-0.082,-0.765
1.378,-0.097,-0.764
0.919,-0.082,-0.723
0.689,-0.067,-0.865
1.379,-0.097,-0.668
1.379,-0.224,-0.602
1.15,-0.426,-0.583
1.378,-0.583,-0.35
1.379,-0.711,-0.326
1.15,-0.658,0.016
1.38,-0.628,-0.07
0.689,-0.471,-0.066
0.689,-0.524,-0.238
1.15,-0.524,-0.2
0.69,-0.598,-0.269
1.151,-0.524,-0.281
1.38,-0.441,-0.228
1.38,-0.299,-0.227
1.38,-0.254,-0.52
1.378,-0.367,-0.513
1.15,-0.501,-0.602
1.15,-0.673,-0.438
0.92,-0.755,-0.25
1.61,-0.77,-0.083
1.379,-0.658,-0.021
0.459,-0.673,-0.112
1.15,-0.913,-0.073
1.15,-0.868,-0.101
0.919,-0.568,-0.033
1.15,-0.486,-0.112
0.689,-0.539,-0.286
1.15,-0.613,-0.277
1.379,-0.613,-0.226
1.381,-0.628,-0.215
1.15,-0.755,-0.2
1.15,-0.785,-0.116
1.15,-0.853,-0.046
0.689,-0.643,-0.048
1.15,-0.426,-0.046
1.381,-0.381,-0.364
0.69,-0.367,-0.361
1.378,-0.554,-0.348
1.15,-0.643,-0.242
1.15,-0.741,-0.237
1.609,-0.696,-0.038
1.38,-0.711,-0.087
1.61,-0.815,0.044
1.379,-0.673,-0.001
1.378,-0.396,0.048
1.38,-0.127,-0.039
1.379,-0.082,-0.344
1.379,-0.112,-0.499
1.15,-0.352,-0.502
1.379,-0.411,-0.414
1.381,-0.568,-0.148
1.15,-0.583,-0.089
1.379,-0.673,0.085
0.92,-0.628,0.112
0.92,-0.628,0.122
1.38,-0.411,0.277
1.15,-0.411,0.12
1.38,-0.441,0.044
1.15,-0.329,0.043
1.611,-0.269,-0.089
1.379,-0.209,-0.048
1.15,-0.067,0.005
1.15,0.03,-0.228
0.92,0,-0.269
1.15,-0.052,-0.355
0.689,-0.037,-0.317
0.919,0.045,-0.317
1.15,-0.022,0.739
1.15,0.105,0.663
1.15,0.135,0.656
0.919,0.172,0.555
0.92,0.307,0.48
0.919,0.531,0.403
1.379,0.479,0.323
0.689,0.449,0.234
1.15,0.277,0.237
0.92,0.135,0.38
0.92,0.15,0.616
1.609,0.389,0.392
1.148,0.516,0.344
1.379,0.449,0.2
1.38,0.464,0.371
0.92,0.516,0.228
1.15,0.636,0.259
1.15,0.666,0.262
1.379,0.546,0.256
0.919,0.494,0.244
0.69,0.434,0.278
1.61,0.576,0.306
0.92,0.636,0.408
1.379,0.666,0.388
1.379,0.621,0.031
0.92,0.636,0.129
0.919,0.845,0.043
0.689,0.86,0.039
1.379,0.636,-0.018
0.69,0.561,0.082
1.38,0.464,0.162
0.459,0.531,0.322
1.379,0.516,0.258
1.15,0.666,0.212
1.379,0.621,0.201
1.15,0.666,0.277
0.919,0.845,0.012
0.92,0.808,-0.016
1.379,0.479,0.109
0.69,0.404,0.186
0.689,0.389,0.321
0.689,0.576,0.389
0.918,0.666,0.151
1.15,0.763,0.197
1.15,0.748,0.121
1.151,0.733,-0.046
0.92,0.718,-0.042
0.919,0.591,-0.021
0.689,0.359,0.123
1.15,0.217,0.339
1.15,0.247,0.436
0.919,0.307,0.441
0.92,0.359,0.386
0.689,0.516,0.323
1.15,0.561,0.294
0.459,0.688,0.126
1.15,0.591,0.123
0.92,0.516,-0.104
1.38,0.449,-0.042
1.15,0.576,-0.043
1.381,0.561,-0.12
0.69,0.374,-0.107
0.92,0.09,0.115
1.381,-0.127,0.087
1.15,-0.209,0.425
1.379,-0.037,0.499
1.15,0.202,0.575
1.15,0.15,0.375
0.689,0.045,0.375
0.919,-0.082,0.415
1.38,-0.127,0.571
1.15,-0.097,0.505
0.689,0,0.492
0.459,0.045,0.302
1.15,0.015,0.303
1.15,-0.067,0.27
1.38,-0.082,0.27
1.608,-0.037,0.352
1.379,0.015,0.128
1.379,0.03,-0.494
0.92,0.045,-0.765
0.919,0,-0.814
1.379,-0.097,-0.811
1.38,-0.097,-0.674
1.609,-0.067,-0.673
1.15,-0.067,-0.723
1.379,-0.082,-0.688
1.15,-0.269,-0.753
1.148,-0.501,-0.5
1.38,-0.643,-0.582
1.15,-0.83,-0.242
1.379,-0.785,-0.065
1.15,-0.658,0.049
1.379,-0.598,-0.055
0.689,-0.501,-0.033
0.92,-0.524,-0.293
1.15,-0.441,-0.192
0.92,-0.456,-0.319
0.92,-0.352,-0.372
1.148,-0.367,-0.438
1.15,-0.486,-0.518
1.379,-0.539,-0.303
1.379,-0.711,-0.317
1.15,-0.755,-0.24
1.15,-0.711,-0.17
1.38,-0.628,-0.088
1.15,-0.711,-0.045
1.378,-0.883,-0.166
1.38,-0.741,-0.039
1.15,-0.568,-0.111
1.379,-0.456,-0.262
1.15,-0.539,-0.286
1.381,-0.583,-0.132
1.609,-0.628,-0.229
0.69,-0.643,-0.243
1.15,-0.755,-0.142
1.379,-0.8,-0.04
0.919,-0.853,0.043
0.689,-0.658,-0.048
0.92,-0.426,-0.046
0.92,-0.381,-0.197
0.69,-0.367,-0.361
1.15,-0.501,-0.388
1.15,-0.598,-0.186
1.148,-0.741,-0.236
1.15,-0.726,-0.071
1.379,-0.741,0.042
1.15,-0.83,0.106
0.919,-0.643,0.177
0.919,-0.367,0.048
0.92,-0.157,-0.19
1.379,-0.157,-0.428
1.609,-0.254,-0.422
0.919,-0.352,-0.405
1.61,-0.471,-0.287
1.148,-0.583,-0.186
1.382,-0.658,-0.068
0.919,-0.711,-0.067
0.92,-0.741,0.212
1.15,-0.568,0.289
1.15,-0.554,0.116
0.459,-0.411,0.105
0.919,-0.239,0.043
0.459,-0.18,0.042
1.379,-0.157,-0.138
1.15,-0.067,-0.189
1.15,0,-0.085
0.92,-0.022,-0.176
1.15,-0.022,-0.317
1.148,-0.037,-0.317
1.15,0.03,-0.278
0.46,0.06,-0.269
1.38,0.045,-0.138
1.378,-0.052,-0.366
1.15,-0.052,-0.188
1.15,0.015,0.042
0.689,0.06,-0.364
1.15,0.045,-0.273
1.15,-0.037,-0.048
1.15,-0.037,-0.093
1.15,0.015,0.042
1.15,0.045,0.087
1.15,0.045,0.133
1.379,0.03,0.093
1.61,0,0.223
0.919,-0.022,0.314
0.92,0.015,0.223
1.15,0.075,0.313
1.608,0.12,0.37
1.38,0.232,0.197
0.46,0.344,0.354
1.15,0.307,0.287
1.15,0.86,0.217
1.15,0.89,0.189
1.381,1.032,0.19
0.92,0.86,0.151
1.15,0.733,0.322
1.378,0.875,0.502
0.69,1.107,0.337
0.689,1.122,0.132
1.38,1.107,0.116
0.689,0.935,0.122
0.92,0.763,0.27
1.15,0.778,0.405
0.69,0.995,0.342
1.379,1.092,0.292
0.919,1.137,0.226
1.379,1.204,0.067
1.379,0.905,0.065
1.38,0.793,0.146
0.69,0.92,0.282
1.378,1.062,0.192
0.69,1.107,0.132
1.38,1.122,0.042
1.379,0.845,0.114
0.69,0.703,0.229
0.92,0.778,0.236
1.379,0.92,0.36
1.15,0.92,0.129
1.609,0.98,0.098
1.38,1.092,0.116
0.69,0.86,-0.028
0.918,0.666,0.209
1.15,0.651,0.166
0.919,0.666,0.283
1.379,0.793,0.195
1.38,0.875,0.039
0.459,0.95,0.044
0.69,0.965,-0.099
0.919,0.561,-0.146
1.38,0.434,0.018
1.611,0.389,0.248
1.379,0.479,0.323
1.379,0.516,0.042
1.379,0.591,0.154
0.689,0.561,0.044
1.379,0.561,0.048
0.918,0.531,0.093
1.15,0.666,0.043
1.379,0.531,-0.197
1.38,0.277,-0.073
0.69,0.015,0.115
0.689,-0.157,0.352
1.15,-0.097,0.498
0.689,0.06,0.435
1.15,0.12,0.284
1.15,0.045,0.287
1.15,-0.097,0.352
1.15,-0.112,0.352
1.15,-0.022,0.281
0.92,0.03,0.212
0.92,0.015,0.186
1.38,-0.097,0.115
1.38,-0.082,0.109
1.15,-0.052,0.035
1.38,0,0.035
1.15,-0.022,-0.121
1.381,-0.082,-0.2
1.378,-0.112,-0.2
1.15,-0.112,-0.192
1.378,-0.142,-0.198
1.38,-0.239,-0.195
0.92,-0.381,-0.184
1.379,-0.254,-0.229
1.38,0.015,-0.313
0.919,0.105,-0.627
1.15,0.03,-0.808
1.38,-0.194,-0.723
1.379,-0.224,-0.543
1.379,-0.269,-0.514
1.15,-0.426,-0.345
1.38,-1.055,-0.31
1.379,-0.987,-0.278
1.15,-0.942,-0.226
1.38,-0.942,-0.242
0.92,-0.815,-0.215
1.379,-0.883,-0.278
