I1,I2,I3
3.587,153.519,0.455
2.915,161.897,0.604
2.917,158.336,0.468
3.139,161.059,0.643
3.139,161.268,0.459
3.363,162.525,0.249
3.815,159.279,0.476
3.366,160.117,0.526
3.811,166.086,0.464
3.36,161.478,0.531
3.137,164.305,0.201
3.363,162.944,0.597
2.688,159.488,0.365
2.913,159.069,0.513
3.139,163.677,0.52
3.587,160.535,0.464
3.36,159.069,0.529
3.363,164.934,0.176
2.917,161.897,0.613
3.36,161.897,0.088
3.815,166.295,0.537
2.912,162.525,0.344
3.366,168.704,0.54
3.139,160.117,0.57
3.366,164.934,0.52
3.139,168.075,0.597
2.688,163.677,0.443
2.69,164.515,0.527
3.363,166.295,0.303
2.465,169.122,0.659
3.363,163.677,0.339
3.359,163.258,0.579
3.363,168.704,0.51
3.587,166.504,0.243
3.587,163.886,0.554
3.139,166.923,0.182
3.587,169.332,0.621
3.139,171.74,0.455
3.363,170.903,0.309
3.363,167.761,0.463
3.587,171.322,0.439
2.913,171.322,0.299
3.584,168.494,0.493
2.915,165.352,0.514
2.69,165.667,0.203
3.59,173.311,0.488
2.69,170.903,0.443
2.69,169.751,0.167
3.142,166.504,0.413
2.912,168.285,0.463
3.139,169.541,0.459
3.139,173.311,0.499
3.139,175.091,0.463
3.362,175.091,0.425
2.915,170.484,0.406
3.584,170.484,0.361
3.363,173.94,0.511
3.136,173.73,0.417
2.913,172.892,0.239
2.911,167.552,0.292
2.69,170.17,0.532
3.366,174.777,0.47
2.915,173.311,0.627
3.36,169.332,0.143
3.139,169.541,0.509
3.139,169.751,0.452
3.363,178.338,0.688
3.136,176.348,0.276
3.142,175.72,0.236
3.137,172.369,0.155
2.915,169.751,0.258
3.142,171.322,0.325
3.139,172.369,0.519
2.69,179.385,0.721
3.136,175.301,0.129
2.915,173.521,0.365
2.911,175.51,0.647
2.915,176.558,0.485
3.139,176.348,0.581
2.917,175.091,0.339
2.917,171.531,0.189
2.466,168.075,0.5
3.139,175.301,0.587
3.135,174.568,0.609
2.464,170.693,0.477
2.915,174.777,0.436
2.689,172.578,0.182
2.915,169.541,0.376
3.366,169.541,0.382
2.689,175.72,0.538
2.917,172.892,0.353
3.817,169.96,0.31
2.915,171.531,0.266
2.915,171.112,0.46
3.363,174.149,0.592
3.139,175.51,0.275
3.587,170.903,0.262
3.363,172.892,0.505
3.142,175.51,0.546
2.913,175.72,0.37
3.139,172.892,0.112
3.139,175.929,0.356
3.363,171.95,0.393
3.59,169.122,0.487
3.587,173.94,0.417
3.362,175.51,0.217
3.366,173.102,0.337
3.139,169.96,0.393
2.912,168.285,0.24
3.363,173.94,0.212
2.913,177.919,0.183
2.913,173.102,0.342
2.915,170.693,0.438
2.913,171.322,0.481
3.59,174.358,0.151
2.912,174.777,0.442
3.363,177.186,0.454
3.136,176.139,0.85
3.142,171.74,0.409
3.363,172.892,0.3
2.912,174.358,0.519
2.911,174.568,0.519
2.465,172.892,0.642
2.69,169.332,0.313
3.142,167.552,0.402
3.36,174.568,0.557
2.69,172.892,0.463
2.689,169.122,0.201
3.139,170.484,0.228
2.915,170.17,0.468
3.363,173.73,0.568
2.689,174.358,0.483
3.139,176.558,0.138
2.913,171.74,0.237
2.915,170.17,0.486
3.587,173.311,0.538
3.363,173.521,0.518
3.139,175.301,0.358
3.362,170.903,0.261
3.142,169.122,0.52
3.139,175.301,0.375
3.137,176.976,0.532
3.139,174.568,0.173
3.59,171.531,0.334
3.135,169.332,0.665
3.811,173.521,0.522
2.687,178.128,0.536
3.59,174.568,0.319
3.139,171.322,0.172
2.915,173.521,0.164
2.915,171.531,0.334
2.915,170.17,0.436
3.137,175.929,0.359
3.139,179.594,0.455
3.363,175.091,0.187
3.137,171.74,0.24
3.36,171.531,0.325
3.366,174.777,0.4
3.139,175.929,0.406
3.137,179.176,0.494
2.912,172.578,0.43
3.36,174.358,0.194
3.363,177.709,0.204
2.915,177.5,0.516
3.142,176.348,0.492
2.913,175.72,0.382
3.368,180.327,0.505
3.139,174.358,0.448
2.915,174.149,0.41
2.689,177.186,0.302
3.139,177.709,0.32
3.136,177.186,0.377
2.913,176.139,0.521
3.132,172.892,0.402
3.139,169.122,0.304
3.139,176.558,0.421
3.136,177.5,0.51
3.366,173.521,0.255
3.139,172.369,0.299
2.917,170.484,0.397
2.693,171.95,0.413
3.142,168.075,0.465
2.915,175.51,0.469
2.915,177.186,0.601
3.363,173.521,0.416
2.69,171.531,0.227
2.689,169.541,0.364
3.139,171.112,0.575
2.688,178.128,0.471
2.917,177.919,0.42
2.912,172.578,0.131
2.69,171.531,0.309
3.139,174.777,0.447
3.36,175.091,0.396
2.69,176.139,0.681
3.366,170.903,0.276
3.139,168.913,0.416
2.913,172.369,0.237
2.913,173.311,0.46
2.915,176.139,0.457
3.808,175.51,0.482
2.915,174.777,0.245
2.917,168.494,0.415
3.59,168.913,0.492
4.039,174.777,0.42
3.363,174.777,0.488
3.815,171.531,0.183
3.142,170.484,0.413
3.139,169.122,0.568
3.59,176.767,0.592
3.363,177.709,0.336
3.139,172.892,0.176
3.137,172.578,0.471
2.912,169.751,0.411
3.815,170.17,0.28
3.587,170.484,0.305
2.687,177.919,0.203
3.135,174.568,0.164
3.36,172.159,0.41
2.912,174.777,0.417
3.139,175.51,0.519
3.59,174.777,0.242
3.363,172.892,0.372
3.139,169.751,0.519
3.587,168.704,0.408
2.911,175.51,0.492
2.915,172.892,0.338
2.69,169.541,0.687
2.915,170.693,0.654
3.139,169.541,0.676
3.815,168.704,0.404
2.465,173.521,0.264
3.139,177.186,0.443
2.915,171.531,0.513
2.912,169.332,0.538
2.917,173.102,0.404
