I0,I1,I2,I3,I4,I5,I6
0.000,82.586,429.665,7.972,0.000,0.000,0.000
0.000,76.369,449.143,7.678,0.000,0.000,0.000
0.000,78.896,455.531,8.206,0.000,0.000,0.000
0.000,80.357,444.116,8.857,0.000,0.000,0.000
0.000,80.333,434.901,8.459,0.000,0.000,0.000
0.000,82.273,440.451,7.400,0.000,0.000,0.000
0.000,78.451,452.285,7.288,0.000,0.000,0.000
0.000,72.403,455.322,7.908,0.000,0.000,0.000
0.000,77.745,450.295,8.192,0.000,0.000,0.000
0.000,71.872,457.940,7.404,0.000,0.000,0.000
0.000,73.579,463.385,7.242,0.000,0.000,0.000
0.000,67.070,460.767,8.586,0.000,0.000,0.000
0.000,73.969,435.844,10.344,0.000,0.000,0.000
0.000,84.046,397.726,11.366,0.000,0.000,0.000
0.000,88.455,370.708,11.028,0.000,0.000,0.000
0.000,82.872,369.870,9.740,0.000,0.000,0.000
0.000,91.226,382.751,8.983,0.000,0.000,0.000
0.000,80.460,410.397,9.203,0.000,0.000,0.000
0.000,89.882,413.643,9.790,0.000,0.000,0.000
0.000,88.468,396.155,12.319,0.000,0.000,0.000
0.000,89.967,351.021,11.935,0.000,0.000,0.000
0.000,94.116,328.401,10.653,0.000,0.000,0.000
0.000,78.748,342.015,9.719,0.000,0.000,0.000
0.000,86.869,361.702,10.320,0.000,0.000,0.000
0.000,80.159,371.860,10.879,0.000,0.000,0.000
0.000,84.252,373.116,11.035,0.000,0.000,0.000
0.000,92.083,363.063,11.486,0.000,0.000,0.000
0.000,97.851,357.827,11.737,0.000,0.000,0.000
0.000,88.671,353.639,12.606,0.000,0.000,0.000
0.000,98.365,334.789,13.096,0.000,0.000,0.000
0.000,90.530,313.740,12.111,0.000,0.000,0.000
0.000,86.422,318.976,10.382,0.000,0.000,0.000
0.000,77.034,340.025,9.849,0.000,0.000,0.000
0.000,80.863,354.686,9.728,0.000,0.000,0.000
0.000,89.650,357.618,12.057,0.000,0.000,0.000
0.000,85.068,340.758,12.269,0.000,0.000,0.000
0.000,97.325,318.348,11.598,0.000,0.000,0.000
0.000,82.374,315.940,11.288,0.000,0.000,0.000
0.000,77.892,323.375,10.861,0.000,0.000,0.000
0.000,75.199,321.909,12.129,0.000,0.000,0.000
0.000,83.223,309.342,12.003,0.000,0.000,0.000
0.000,78.503,304.944,11.022,0.000,0.000,0.000
0.000,79.972,311.122,10.714,0.000,0.000,0.000
0.000,73.615,326.516,10.171,0.000,0.000,0.000
0.000,80.902,341.177,10.304,0.000,0.000,0.000
0.000,81.957,343.167,11.705,0.000,0.000,0.000
0.000,79.629,328.611,10.773,0.000,0.000,0.000
0.000,90.781,333.951,9.694,0.000,0.000,0.000
0.000,79.008,351.649,9.290,0.000,0.000,0.000
0.000,77.700,377.515,9.724,0.000,0.000,0.000
0.000,84.019,391.757,10.747,0.000,0.000,0.000
0.000,95.041,384.531,11.655,0.000,0.000,0.000
0.000,86.907,382.122,10.446,0.000,0.000,0.000
0.000,96.875,384.112,9.788,0.000,0.000,0.000
0.000,88.047,403.171,10.959,0.000,0.000,0.000
0.000,88.947,409.350,11.343,0.000,0.000,0.000
0.000,97.396,401.181,10.491,0.000,0.000,0.000
0.000,88.946,407.150,10.356,0.000,0.000,0.000
0.000,96.390,429.456,10.452,0.000,0.000,0.000
0.000,88.931,433.435,11.143,0.000,0.000,0.000
0.000,105.159,431.864,11.442,0.000,0.000,0.000
0.000,106.108,426.419,10.751,0.000,0.000,0.000
0.000,94.000,430.503,10.237,0.000,0.000,0.000
0.000,95.114,441.917,10.807,0.000,0.000,0.000
0.000,102.525,453.751,11.139,0.000,0.000,0.000
0.000,106.255,453.332,11.299,0.000,0.000,0.000
0.000,101.537,450.923,10.691,0.000,0.000,0.000
0.000,116.741,450.504,10.967,0.000,0.000,0.000
0.000,103.766,464.746,10.164,0.000,0.000,0.000
0.000,111.817,476.370,11.251,0.000,0.000,0.000
0.000,108.650,473.962,10.664,0.000,0.000,0.000
0.000,116.397,467.783,11.512,0.000,0.000,0.000
0.000,120.727,475.742,10.125,0.000,0.000,0.000
0.000,101.238,495.639,10.505,0.000,0.000,0.000
0.000,119.414,507.053,10.920,0.000,0.000,0.000
0.000,110.114,501.293,11.572,0.000,0.000,0.000
0.000,118.958,490.193,11.036,0.000,0.000,0.000
0.000,117.759,500.246,10.146,0.000,0.000,0.000
0.000,104.112,522.133,9.943,0.000,0.000,0.000
