I1,I2,I3
0.494,0,0.101
1.235,0,0.278
0.741,-0.314,0.131
0.493,-0.314,0.249
1.235,0,0.101
1.483,0,0.161
0.74,0,0.131
1.483,0,0.22
1.483,-0.524,0.132
1.483,-0.314,0.1
1.235,0,0.132
1.483,0,0.013
1.235,0,0.077
1.483,0,0.045
1.483,0,0.013
0.74,-0.314,0.045
0.741,-0.314,0.012
1.235,0,0.046
1.235,0,0.012
0.988,0,-0.043
0.741,0,-0.077
0.494,0,0.046
1.235,0,0.046
1.235,0,-0.043
0.988,-0.524,-0.043
0.741,-0.314,0.012
0.741,-0.314,-0.043
0.988,0,-0.043
0.741,0,-0.132
0.988,0,-0.077
1.483,0,-0.043
1.235,0,-0.043
1.235,0,-0.099
1.483,-0.524,-0.167
0.988,-0.314,-0.098
0.988,0,-0.167
1.235,0,-0.133
0.741,0,-0.133
0.989,0,-0.258
0.741,0,-0.258
0.988,0,-0.133
1.481,0,-0.167
0.988,0,-0.222
0.988,-0.314,-0.133
1.235,-0.314,-0.096
0.741,0,-0.222
1.481,0,-0.222
1.235,0,-0.133
1.235,0,-0.259
0.494,0,-0.222
0.494,0,-0.222
0.987,0,-0.222
0.988,0,-0.15
1.236,-0.314,-0.259
1.483,-0.314,-0.186
0.989,-0.314,-0.223
1.236,0,-0.223
1.236,0,-0.133
1.483,0,-0.275
1.235,0,-0.223
0.988,0,-0.223
0.988,0,-0.186
0.988,0,-0.26
1.235,0,-0.387
1.235,0,-0.313
1.236,0,-0.223
1.481,0,-0.313
0.989,0,-0.365
1.235,0,-0.223
1.235,0,-0.313
0.988,0,-0.26
1.483,0,-0.26
1.483,0,-0.223
1.235,0,-0.26
1.235,0,-0.313
0.494,0,-0.313
1.237,0,-0.223
1.235,0,-0.26
0.494,0,-0.26
1.483,0,-0.35
1.483,0,-0.223
0.741,0,-0.223
0.988,0,-0.275
0.988,0,-0.223
1.235,0,-0.171
1.235,0,-0.313
1.235,0,-0.171
0.741,0,-0.186
0.493,0,-0.223
1.484,0,-0.133
1.483,0,-0.223
1.483,0,-0.223
0.494,0,-0.171
0.989,0,-0.133
1.235,0,-0.043
0.988,0,-0.223
0.988,0,-0.171
1.235,0,-0.186
1.235,0,-0.133
0.988,0,-0.223
0.494,0,-0.313
0.741,0,-0.043
0.988,0,-0.133
0.741,0,-0.043
1.483,0,-0.222
1.483,0,0.083
0.988,0,-0.17
0.988,0,-0.096
0.988,0,-0.096
1.235,0,-0.079
1.483,0.209,-0.133
1.235,-0.314,-0.133
1.235,0,-0.098
1.483,0,-0.009
1.483,0,0.046
1.236,0,-0.078
0.741,0,-0.043
1.236,0,-0.078
1.235,0.209,-0.043
1.73,0,-0.043
0.494,-0.314,0.011
1.483,0,0.133
1.235,0,-0.043
1.235,0.209,0.046
1.235,0.209,0.133
1.483,0.209,0.1
1.235,0,0.077
1.235,0,0.1
1.235,0,0.221
0.988,0,0.189
0.988,0,0.189
1.483,0,0.189
1.483,0.209,0.189
1.237,0.209,0.22
1.481,0.209,0.22
1.235,0.209,0.131
1.235,-0.314,0.308
1.235,0,0.25
1.235,0,0.25
0.741,0.209,0.278
1.236,0.209,0.278
0.74,0.209,0.28
1.236,0.209,0.48
1.481,0.209,0.342
1.235,0.209,0.341
1.235,0.209,0.43
0.989,0.628,0.408
0.741,0.628,0.344
1.483,1.047,0.431
