I1,I2,I3
1.754,26.913,0.128
1.251,32.987,0.26
0.751,26.285,0.283
0.751,24.504,0.3
0.751,31.521,0.232
1.252,29.95,0.414
0.751,25.761,0.22
1.253,29.322,0.265
0.752,28.693,0.217
1.504,27.751,0.344
1.002,27.751,0.236
1.753,27.96,0.225
1.002,29.74,0.222
0.751,28.17,0.248
1.253,26.494,0.131
1.002,29.322,0.36
1.754,29.322,0.282
1.504,24.504,0.234
0.751,31.311,0.304
1.504,29.531,0.273
1.252,24.295,0.165
1.504,27.751,0.204
1.002,29.322,0.261
1.504,25.761,0.228
1.253,28.17,0.261
2.005,30.159,0.133
1.252,26.075,0.248
1.251,26.494,0.382
0.752,28.903,0.192
0.751,29.322,0.249
0.751,25.342,0.281
1.252,29.112,0.253
0.751,29.112,0.264
0.751,24.504,0.223
0.751,28.903,0.267
1.002,30.892,0.371
1.251,24.504,0.322
1.002,26.704,0.103
1.504,31.94,0.151
1.753,27.122,0.177
0.751,25.552,0.221
1.504,29.74,0.345
2.006,30.892,0.344
1.001,24.923,0.259
1.002,26.913,0.199
0.751,32.568,0.259
1.253,26.075,0.204
0.751,24.086,0.295
0.75,31.311,0.229
1.002,29.95,0.19
1.002,25.761,0.132
1.252,29.322,0.297
1.504,28.693,0.31
1.502,27.96,0.099
0.751,28.693,0.276
1.502,27.541,0.193
1.502,29.531,0.253
1.001,28.484,0.173
1.002,26.285,0.262
0.751,29.531,0.271
1.251,29.322,0.233
1.504,24.295,0.233
1.502,31.102,0.363
0.501,29.531,0.156
1.001,24.504,0.248
1.002,27.96,0.286
1.253,29.95,0.203
1.001,27.332,0.225
1.502,27.541,0.186
1.253,30.578,0.2
1.502,27.122,0.259
1.755,26.913,0.283
1.001,29.531,0.349
1.253,29.112,0.291
1.502,26.075,0.211
1.252,29.95,0.216
1.754,28.693,0.264
1.252,25.342,0.292
1.504,30.369,0.457
0.751,30.369,0.264
0.751,24.714,0.278
0.751,27.751,0.36
0.751,32.777,0.219
1.502,27.332,0.305
0.751,26.285,0.374
1.001,31.102,0.337
0.751,29.531,0.228
1.253,23.667,0.219
0.751,30.892,0.266
1.001,31.94,0.216
0.751,24.504,0.198
1.002,27.96,0.259
0.751,31.102,0.175
0.751,28.484,0.209
1.253,27.332,0.348
0.751,28.903,0.319
1.002,29.322,0.215
1.002,27.96,0.272
1.001,26.285,0.298
1.002,29.322,0.187
1.253,29.322,0.194
0.752,27.332,0.315
1.002,27.541,0.304
0.752,29.322,0.192
1.753,26.704,0.229
1.504,29.322,0.344
1.502,30.369,0.282
1.001,26.285,0.328
1.253,27.122,0.253
1.504,28.693,0.223
1.002,29.531,0.237
0.751,25.761,0.32
1.504,29.95,0.221
1.253,29.74,0.303
0.751,25.133,0.266
1.504,27.96,0.286
0.751,31.102,0.283
0.751,25.552,0.146
1.252,28.484,0.334
0.75,30.892,0.216
1.002,24.504,0.234
1.002,27.96,0.204
1.504,31.311,0.206
1.002,25.552,0.217
1.504,26.075,0.272
1.002,30.578,0.117
1.504,29.112,0.248
1.001,26.075,0.242
1.001,26.704,0.31
1.003,32.358,0.259
0.75,27.751,0.308
0.751,24.086,0.266
1.502,33.929,0.354
1.002,29.531,0.132
0.751,24.504,0.313
1.002,32.777,0.385
0.751,31.521,0.408
1.002,26.913,0.222
1.002,30.578,0.383
1.002,30.159,0.308
1.253,29.531,0.278
1.252,29.322,0.234
0.751,30.892,0.28
1.502,31.311,0.197
1.002,29.322,0.328
1.504,30.369,0.239
1.002,31.73,0.315
1.002,28.17,0.232
0.751,31.521,0.273
0.751,32.987,0.199
1.001,26.913,0.27
1.754,31.102,0.302
0.5,33.51,0.306
1.002,28.693,0.297
1.001,32.987,0.363
0.501,33.51,0.254
0.751,28.484,0.305
1.001,31.521,0.317
1.754,34.348,0.303
1.504,29.322,0.225
1.753,33.72,0.306
1.001,31.102,0.348
1.253,29.74,0.237
0.751,35.5,0.348
1.002,30.369,0.139
1.002,31.521,0.123
1.755,36.757,0.258
0.751,30.578,0.399
1.252,29.74,0.406
0.751,37.176,0.234
0.752,31.521,0.36
1.002,28.903,0.254
1.502,37.909,0.25
2.004,29.531,0.204
1.501,30.578,0.256
1.253,35.919,0.322
1.504,31.521,0.273
0.751,33.72,0.262
0.752,34.139,0.31
1.504,32.777,0.3
1.251,31.73,0.369
1.252,35.186,0.121
1.001,33.929,0.216
1.504,31.311,0.302
0.751,34.767,0.316
1.252,32.777,0.236
1.001,32.149,0.367
1.253,35.919,0.184
0.751,30.578,0.254
1.001,32.987,0.129
1.001,35.186,0.325
1.502,30.578,0.234
1.504,34.976,0.269
1.002,34.976,0.32
1.001,30.892,0.251
1.002,33.929,0.26
1.504,33.929,0.38
1.502,33.301,0.164
1.251,36.128,0.206
1.002,29.95,0.265
0.751,36.128,0.311
1.001,34.348,0.317
1.001,30.369,0.276
1.754,36.338,0.2
1.001,34.348,0.197
1.502,31.521,0.073
1.754,36.966,0.325
1.002,34.348,0.225
1.002,27.96,0.297
1.252,39.375,0.322
0.751,32.149,0.282
1.502,30.369,0.266
1.753,36.757,0.321
1.252,31.311,0.222
1.504,34.767,0.288
1.753,35.186,0.203
1.002,33.72,0.266
0.751,31.311,0.3
1.002,36.338,0.273
1.252,34.348,0.216
1.251,32.149,0.26
1.002,35.709,0.258
1.251,32.149,0.314
1.002,34.976,0.183
1.754,35.709,0.168
0.752,30.159,0.242
0.751,34.767,0.355
1.002,36.547,0.271
1.252,32.987,0.261
1.002,36.757,0.228
1.001,31.102,0.266
1.504,33.929,0.405
1.252,36.966,0.271
1.504,31.102,0.222
1.002,35.709,0.365
1.253,32.777,0.171
1.504,32.987,0.204
0.751,37.909,0.339
1.502,30.369,0.323
1.001,33.929,0.313
1.502,38.327,0.193
0.5,32.358,0.139
1.251,34.348,0.192
1.252,37.909,0.204
1.504,28.903,0.212
0.751,40.527,0.322
0.751,33.72,0.204
1.002,31.311,0.265
0.751,37.909,0.269
0.751,33.301,0.266
1.753,35.186,0.265
1.002,35.919,0.298
1.754,34.348,0.19
1.504,32.568,0.313
0.751,37.594,0.272
1.002,35.186,0.262
1.252,33.72,0.243
1.502,36.547,0.345
1.502,31.94,0.298
1.002,37.594,0.303
1.504,34.976,0.297
1.002,33.51,0.369
0.751,36.338,0.26
1.754,33.51,0.231
1.251,36.338,0.22
1.253,37.385,0.287
0.751,32.568,0.244
1.002,36.547,0.27
1.502,34.976,0.228
0.751,34.767,0.186
0.5,38.118,0.313
1.502,31.521,0.254
1.252,38.327,0.183
1,34.348,0.217
1.252,32.987,0.17
1.504,39.794,0.26
1.252,33.301,0.299
1.253,34.767,0.266
1.001,39.165,0.358
1.001,30.578,0.183
1.001,39.584,0.327
0.751,36.128,0.21
1.001,31.521,0.189
0.751,39.375,0.356
1.502,34.558,0.266
0.751,36.757,0.264
1.504,37.176,0.128
0.751,35.919,-0.336
1.001,33.301,0.204
0.751,38.537,0.222
1.504,35.5,0.177
1.002,37.909,0.225
1.002,37.385,0.325
1.001,32.777,0.369
1.504,39.165,0.2
1.253,33.51,0.249
1.251,36.966,0.26
1.502,38.746,0.236
1.504,33.72,0.277
1.753,39.584,0.21
0.751,34.558,0.178
1.002,36.547,0.226
1.253,39.794,0.249
1.504,33.929,0.264
1.504,39.165,0.189
0.751,32.358,0.229
1.502,39.584,0.427
1.504,35.186,0.225
1.504,35.186,0.186
1.252,40.945,0.206
1.002,34.348,0.283
1.002,37.909,0.256
1.504,38.956,0.361
1.253,30.892,0.221
1.002,42.935,0.331
1.253,34.139,0.128
1.504,35.919,0.26
1.002,39.375,0.378
1.504,33.929,0.157
1.253,38.118,0.249
1.251,38.327,0.249
0.751,36.757,0.281
1.504,36.757,0.308
0.751,38.118,0.2
0.751,34.976,0.215
1.001,38.956,0.278
0.751,33.929,0.226
1.504,39.794,0.208
0.751,37.594,0.212
1.504,34.976,0.221
1.252,38.746,0.265
1.001,34.767,0.228
1.002,38.746,0.17
1.502,38.118,0.265
1.002,35.709,0.212
1.001,39.794,0.195
1.502,34.558,0.323
1.002,38.537,0.248
1.504,35.709,0.325
1.504,38.956,0.277
1.002,38.746,0.234
1.502,34.348,0.27
1.001,41.155,0.237
0.751,36.547,0.219
0.751,34.976,0.248
1.001,42.202,0.154
1.002,32.777,0.1
1.001,41.574,0.173
1.002,37.594,0.284
1.251,34.139,0.187
1.502,40.945,0.27
1.002,35.186,0.313
1.002,38.956,0.248
1.001,39.375,0.22
1.002,38.327,0.233
1.253,39.584,0.184
1.002,38.746,0.247
1.002,36.128,0.26
1.502,39.584,0.264
1.001,34.139,0.211
0.751,41.364,0.26
1.252,37.594,0.236
1.754,36.966,0.284
1.001,39.794,0.282
0.751,34.976,0.323
1.002,40.736,0.216
1.253,36.338,0.331
1.002,37.176,0.251
1.502,40.945,0.236
1.504,34.976,0.275
1.252,40.527,0.211
1.001,33.929,0.258
1.252,41.364,0.265
0.751,35.186,0.161
1.002,36.757,0.129
1.504,41.783,0.177
0.751,35.5,0.203
1.001,39.375,0.256
0.751,38.956,0.281
1.504,31.94,0.16
1.253,43.773,0.262
1.001,32.987,0.314
1.504,39.584,0.271
1.002,40.003,0.26
0.752,36.128,0.262
1.502,38.956,0.306
1.754,37.909,0.278
1.504,35.186,0.299
1.501,40.527,0.093
1.002,37.385,0.228
0.751,39.165,0.215
1.252,38.956,0.282
1.754,34.976,0.281
1.502,40.945,0.28
1.002,34.558,0.161
1.253,38.537,0.181
1.001,39.375,0.319
1.504,36.966,0.261
1.002,40.736,0.305
0.751,34.976,0.348
1.001,39.375,0.19
1.002,37.385,0.145
2.003,38.956,0.22
1.001,36.966,0.166
1.252,37.594,0.201
1.252,41.155,0.273
1.504,34.139,0.216
1.753,40.527,0.125
1.251,38.118,0.176
1.001,35.5,0.314
1.002,43.145,0.22
1.002,34.348,0.101
1.002,40.003,0.261
1.502,39.165,0.198
1.252,33.301,0.27
1.252,41.364,0.234
1.001,35.919,0.222
1.253,38.956,0.331
1.253,38.956,0.317
1.253,37.385,0.325
1.001,38.746,0.261
1.253,38.746,0.154
1.504,35.919,0.354
1.253,39.584,0.26
0.5,34.976,0.139
1.504,40.736,0.217
1.252,38.118,0.194
1.002,35.709,0.387
1.001,39.165,0.193
1.253,34.976,0.234
1.502,39.375,0.221
0.751,37.594,0.249
1.251,36.338,0.061
1.001,40.317,0.323
1.504,34.348,0.225
1.252,39.165,0.121
1.251,33.51,0.144
1.252,39.165,0.22
1.754,37.594,0.299
1.002,34.348,0.177
1.252,41.364,0.167
1.502,35.709,0.162
0.751,35.186,0.179
1.252,41.574,0.272
1.251,31.94,0.184
1.251,41.155,0.2
1.002,37.176,0.436
1.252,33.72,0.325
1.252,40.527,0.276
1.252,34.976,0.164
1.002,38.537,0.264
1.002,38.327,0.27
1.502,37.176,0.262
1.504,37.594,0.262
1.002,37.909,0.236
1.002,34.767,0.304
1.001,38.956,0.305
1.502,35.186,0.299
1.253,37.909,0.187
1.502,38.327,0.256
1.502,33.51,0.22
1.252,37.909,0.107
1.504,36.338,0.226
1.001,37.385,0.273
1.252,38.956,0.209
0.751,33.51,0.306
0.751,38.956,0.342
1.252,34.348,0.322
1.251,37.176,0.244
1.504,35.919,0.249
1.504,35.186,0.356
1.253,40.003,0.281
1.251,32.149,0.228
1.251,36.338,0.232
1.252,38.746,0.259
1.504,33.51,0.31
1.504,38.956,0.325
1.002,36.547,0.365
1.251,30.578,0.314
1.002,41.993,0.243
1.002,32.358,0.314
1.504,38.537,0.336
1.504,38.118,0.186
1.002,34.139,0.214
1.754,36.966,0.175
0.751,36.338,0.278
1.252,34.767,0.287
1.002,36.966,0.269
1.504,36.338,0.245
1.002,33.51,0.175
1.002,37.594,0.278
1.002,34.348,0.3
1.002,35.919,0.342
1.002,37.385,0.276
1.252,31.311,0.302
1.251,35.919,0.314
0.751,36.966,0.231
1.502,32.987,0.182
1.001,37.385,0.3
0.751,31.73,0.171
1.504,35.186,0.303
1.502,36.966,0.304
0.751,32.568,0.342
0.751,37.594,0.245
0.751,31.102,0.322
1.002,36.128,0.223
1.001,36.966,0.3
1.251,31.102,0.414
1.002,38.537,0.209
1.002,34.139,0.266
0.751,31.94,0.05
1.002,39.584,0.265
1.504,33.51,0.276
1.504,31.521,0.38
0.751,38.118,0.305
1.253,29.112,0.137
1.001,37.385,0.303
1.504,36.338,0.26
1.001,32.358,0.284
0.501,34.976,0.26
1.502,34.976,0.255
1.501,34.558,0.233
1.502,33.51,0.37
1.001,35.709,0.303
0.5,33.72,0.242
1.002,36.128,0.297
1,35.709,0.343
1.001,30.369,0.322
1.504,37.385,0.223
1.001,31.521,0.176
1.504,34.139,0.356
1.001,36.547,0.282
1.504,31.311,0.323
1.001,36.966,0.353
0.751,34.976,0.35
1.504,32.987,0.146
1.504,37.176,0.266
1.002,32.987,0.426
1.504,35.709,0.271
1.002,36.757,0.321
1.001,32.568,0.394
0.751,39.165,0.345
1.001,32.149,0.299
1.502,34.139,0.334
1.002,40.003,0.264
1.504,33.929,0.389
1.504,38.537,0.311
1.253,37.385,0.51
1.253,30.578,0.259
1.252,42.726,0.331
1.502,32.987,0.219
1.002,36.757,0.339
1.501,38.956,0.281
1.252,33.72,0.3
1.001,37.909,0.339
0.751,38.118,0.352
1.251,36.757,0.273
1.502,37.909,0.344
1.001,38.118,0.21
1.002,34.976,0.356
1.002,39.375,0.189
1.251,33.72,0.217
